name;size_kb;item_type;date_modified_long;date_modified_short;date_taken;date_taken_year;date_taken_month;date_taken_day;date_taken_hour;date_taken_minute;length;minutos_totales;camera_model;dimensions;camera_maker;file_extension;horizontal_resolution_dpi;vertical_resolution_dpi;width_pixels;height_pixels;area_px_cuadrado;area_m2;source
IMG_20210711_102347780.jpg;2.325;JPG File;11/7/2021 10:23;11/7/2021;11/7/2021 10:23;2021;7;11;10;23;0;0;moto g(7) play;3120 x 4160;motorola;.jpg;72;72;3120;4160;12979200;0,91;Google Drive
IMG_20210711_102407814.jpg;1.697;JPG File;11/7/2021 10:24;11/7/2021;11/7/2021 10:24;2021;7;11;10;24;0;0;moto g(7) play;3120 x 4160;motorola;.jpg;72;72;3120;4160;12979200;0,91;Google Drive
IMG_20210711_104612345.jpg;2.412;JPG File;11/7/2021 10:46;11/7/2021;11/7/2021 10:46;2021;7;11;10;46;0;0;moto g(7) play;3120 x 4160;motorola;.jpg;72;72;3120;4160;12979200;0,91;Google Drive
IMG_20210711_103348986.jpg;1.596;JPG File;11/7/2021 10:33;11/7/2021;11/7/2021 10:33;2021;7;11;10;33;0;0;moto g(7) play;2340 x 4160;motorola;.jpg;72;72;2340;4160;9734400;0,68;Google Drive
IMG_20210711_103350173.jpg;1.526;JPG File;11/7/2021 10:33;11/7/2021;11/7/2021 10:33;2021;7;11;10;33;0;0;moto g(7) play;2340 x 4160;motorola;.jpg;72;72;2340;4160;9734400;0,68;Google Drive
IMG_20210711_103350593.jpg;1.621;JPG File;11/7/2021 10:33;11/7/2021;11/7/2021 10:33;2021;7;11;10;33;0;0;moto g(7) play;2340 x 4160;motorola;.jpg;72;72;2340;4160;9734400;0,68;Google Drive
IMG_20210711_102407814~2.jpg;524;JPG File;11/7/2021 10:24;11/7/2021;11/7/2021 10:24;2021;7;11;10;24;0;0;moto g(7) play;2481 x 2769;motorola;.jpg;96;96;2481;2769;6869889;0,48;Google Drive
IMG_20210711_102347780~2.jpg;80;JPG File;11/7/2021 10:23;11/7/2021;11/7/2021 10:23;2021;7;11;10;23;0;0;moto g(7) play;683 x 869;motorola;.jpg;96;96;683;869;593527;0,04;Google Drive
IMG_20200713_121643031.jpg;3.401;JPG File;13/7/2020 12:16;13/7/2020;13/7/2020 12:16;2020;7;13;12;16;0;0;Moto Z2 Play;3024 x 4032;motorola;.jpg;72;72;3024;4032;12192768;0,85;Camara personal
IMG_20200713_121647819.jpg;3.368;JPG File;13/7/2020 12:16;13/7/2020;13/7/2020 12:16;2020;7;13;12;16;0;0;Moto Z2 Play;3024 x 4032;motorola;.jpg;72;72;3024;4032;12192768;0,85;Camara personal
